Annex I,,,,,,,,,
,,,,,,,,,
Review of gender statistics programmes in countries,,,,,,,,,
,,,,,,,,,
B.         Production of gender statistics in different areas ,,,,,,,,,
,Percentage of countries producing statistics,,,,,,,,
Areas,Regularly,Irregularly,Not producing statistics,,,,,,
,,,,,,,,,
,,,,,,,,,
Labour force,83.3,8.7,7.9,,,,,,
Informal employment,36.5,17.5,46,,,,,,
Unemployment,88.1,7.2,4.8,,,,,,
Poverty,70.6,14.3,15.1,,,,,,
Unpaid work,42.1,24.6,33.3,,,,,,
Satellite accounts,7.2,18.3,74.6,,,,,,
Entrepreneurship,27.8,19.1,53.2,,,,,,
Agriculture,44.4,19.1,36.5,,,,,,
Education and training,81,9.5,9.5,,,,,,
Power and decision-making,52.4,18.3,29.4,,,,,,
Media,15.1,19.8,65.1,,,,,,
Information and communications technology,38.9,20.6,40.5,,,,,,
Mortality,84.9,7.1,7.9,,,,,,
Morbidity,73,11.9,15.1,,,,,,
Disability,53.2,24.6,22.2,,,,,,
Access to health services,65.1,12.7,22.2,,,,,,
Sexual and reproductive health,65.9,14.3,19.8,,,,,,
Child marriage,39.7,11.1,49.2,,,,,,
Adolescent fertility,65.9,11.1,23,,,,,,
Violence against women,40.5,31,28.6,,,,,,
Access to clean water,37.3,17.5,45.2,,,,,,
Access to sanitation,38.9,16.7,44.4,,,,,,
,,,,,,,,,
