Appendix B,,,,,,,,,
The UN IAEG-GS identifies gaps by assigning a Tier to each indicator as follows:,,,,,,,,,
Tier I: ,"Indicator is conceptually clear, with an agreed international definition and regularly produced by countries",,,,,,,,
,,,,,,,,,
Tier II:,"Indicator is conceptually clear, with an agreed international definition but not regularly produced by countries.",,,,,,,,
,,,,,,,,,
Tier III:,Indicator for which international standards need still to be developed and not regularly produced by countries.,,,,,,,,
,,,,,,,,,
,,,,,,,,,
"I. Economic structures, participation in productive activities, and access to resources data gaps:",,,,,,,,,
Type of gap,,Number of countries with coverage (of 143),Tier according to IAEG-GS,,,,,,
Coverage/Production,1: Average number of hours spent on unpaid domestic work by sex. Note: Separate housework and child care if possible.,3,2,,,,,,
Coverage/Production,"2: Average number of hours spent on paid and unpaid work combined (total work burden), by sex",0,2,,,,,,
Coverage/Production (partial),"4: Proportion of employed who are own-account workers, by sex",55,1,,,,,,
Coverage/Production (partial),"5: Proportion of employed who are working as contributing family workers, by sex",55,1,,,,,,
Coverage/Production (partial),"6: Proportion of employed who are employer, by sex",51,1,,,,,,
Standards,7: Percentage of firms owned by women,94,3,,,,,,
Coverage/Production (partial),"8: Percentage distribution of the employed population by sector, each sex",57,1,,,,,,
Coverage/Production,"9: Informal employment as a percentage of total non-agricultural employment, by sex",22,2,,,,,,
Coverage/Production (partial),10: Youth unemployment by sex,54,1,,,,,,
Standards,11: Proportion with access to credit by sex,108,3,,,,,,
"Coverage/Production, Standards","12: Proportion of (adult) population who own land, by sex",0,3,,,,,,
Coverage/Production,13: Gender gap in wages,0,3,,,,,,
Coverage/Production,"14: Proportion of employed persons working part-time, by sex",30,1,,,,,,
"Coverage/Production, Standards","15: Employment rate of persons aged 25-49 with a child under age 3 living in a household and with no children living in the household, by sex",0,3,,,,,,
"Coverage/Production, Standards",16: Proportion of children under age 3 in formal care,0,3,,,,,,
Coverage/Production,"17: Proportion of the population who are Internet users, by sex",22,1,,,,,,
Coverage/Production,"18: Proportion of the population who are mobile cellular telephone users, by sex",0,1,,,,,,
Coverage/Production,"19: Access to mass media, ICT",0,3,,,,,,
,,,,,,,,,
·         Hours per day (or year) women and men spend fetching water and collecting fuel (at country level) ,,,,,,,,,
"·         Housing title, disaggregated by male, female, or jointly held ",,,,,,,,,
·         Gender gaps in earnings in wage and self-employment ,,,,,,,,,
·         Labor force participation rates among women and men aged 20-24 and 25-49 ,,,,,,,,,
"·         Percentage of people earning their own income, by sex* ",,,,,,,,,
"·         Ownership of dwelling, by sex* ",,,,,,,,,
"·         Old age pension recipient ratio 65+, by sex* ",,,,,,,,,
"·         Proportion employed in vulnerable employment, by sex* ",,,,,,,,,
"·         Percentage of low pay workers, by sex* ",,,,,,,,,
·         Proportion of children under primary school age enrolled in organized childcare* ,,,,,,,,,
"·         Percentage of households with access to electricity, by urban/rural location* ",,,,,,,,,
